topic_id,headline_topic,news_outlet,url
13,Appeal High Court ruling on nicotine vape exemption,The Star,https://www.thestar.com.my/news/nation/2026/05/17/pharmacists-welcome-high-court-ruling-on-nicotine-exemption
13,Appeal High Court ruling on nicotine vape exemption,The Malaysian Reserve,https://themalaysianreserve.com/2026/05/16/dr-zaliha-moh-to-appeal-high-court-ruling-on-nicotine-vape-exemption/amp/
14,Government to increase the allocation for Ministry of education,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/16/moe-works-allocation-raised-to-rm900m-from-rm400m-says-pm/220209
14,Government to increase the allocation for Ministry of education,NST,https://www.nst.com.my/news/nation/2026/05/1440981/govt-raises-allocation-rm900mil-build-6000-new-classrooms
14,Government to increase the allocation for Ministry of education,The Edge Malaysia,https://theedgemalaysia.com/node/803856
14,Government to increase the allocation for Ministry of education,Bernama,https://bernama.com/tv/news.php?id=2557937
14,Government to increase the allocation for Ministry of education,The Sun Malaysia,https://thesun.my/news/malaysia-news/govt-to-review-consider-increasing-allocation-for-education-ministry/#google_vignette
14,Government to increase the allocation for Ministry of education,The Star,https://www.thestar.com.my/news/nation/2026/05/16/education-ministry-works-allocation-increased-to-rm900mil-says-pm-anwar
14,Government to increase the allocation for Ministry of education,The Malaysian Reserve,https://themalaysianreserve.com/2026/05/16/pm-anwar-moe-works-allocation-increased-to-rm900m-from-rm400m/amp/
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/15/macc-says-no-corruption-found-in-kl-flood-retention-pond-land-conversion-probe-after-hannah-yeoh-query/220059
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/16/yeoh-slams-foolish-approvals-for-development-near-flood-retention-ponds
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,NST,https://www.nst.com.my/news/nation/2026/05/1440830/updated-foolish-decision-hannah-yeoh-slams-70pct-cut-kl-retention-ponds
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,The Edge Malaysia,https://theedgemalaysia.com/node/803774
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,Bernama,https://bernama.com/en/news.php?id=2556075
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,The Sun Malaysia,https://thesun.my/news/malaysia-news/hannah-awaits-macc-findings-on-kl-flood-pond-probe/
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,The Star,https://www.thestar.com.my/metro/metro-news/2026/05/12/no-development-on-flood-retention-pond-land-unless-it-meets-did-criteria-says-minister
15,MACC and Hannah Yeoh KL flood retention pond land conversion probe,The Malaysian Reserve,https://themalaysianreserve.com/2026/05/15/hannah-awaits-macc-findings-on-kuala-lumpur-flood-retention-pond-probe/
